batch_hash,layer_idx,head_idx,top1,top2,top3,top4,top5,top10,top15,top20,top30,top40,top50,top60,top70,top80,top90
002f3f6d,1,0,0.760937511920929,0.762255847454071,0.6952474117279053,0.6325927972793579,0.5969860553741455,0.6024624705314636,0.6489608883857727,0.6958247423171997,0.777073323726654,0.8410423994064331,0.8932476043701172,0.9330911040306091,0.9622563719749451,0.9828082323074341,0.9955816268920898
002f3f6d,1,1,0.586230456829071,0.563720703125,0.5546875,0.5437256097793579,0.5400199294090271,0.5746400356292725,0.6285935044288635,0.680908203125,0.7704027891159058,0.838969886302948,0.8924236297607422,0.9326855540275574,0.9623491168022156,0.9829656481742859,0.9954438209533691
002f3f6d,1,2,0.36933594942092896,0.4327636659145355,0.4638672173023224,0.48942872881889343,0.514763355255127,0.6029699444770813,0.6696346402168274,0.719109058380127,0.7909328937530518,0.8446143865585327,0.8903350830078125,0.9289669990539551,0.9592816829681396,0.9813988208770752,0.9950769543647766
002f3f6d,1,3,0.5658203363418579,0.594921886920929,0.5702148675918579,0.5505615472793579,0.5417049527168274,0.5718348026275635,0.6266786456108093,0.6828374266624451,0.7723909020423889,0.840853750705719,0.8938407897949219,0.9337050318717957,0.9634593725204468,0.9841246604919434,0.9958775043487549
002f3f6d,1,4,0.615429699420929,0.530712902545929,0.5002278685569763,0.49174806475639343,0.49398747086524963,0.5561619400978088,0.622427761554718,0.6820906400680542,0.7785843014717102,0.8466391563415527,0.8985404968261719,0.9368557929992676,0.9646404981613159,0.9840816855430603,0.9957173466682434
002f3f6d,1,5,0.72705078125,0.693896472454071,0.6194010972976685,0.5740966796875,0.5496515035629272,0.5528875589370728,0.6102175116539001,0.6656853556632996,0.7625362277030945,0.8346458077430725,0.8895282745361328,0.9309630393981934,0.961738109588623,0.9832732677459717,0.995654821395874
002f3f6d,1,6,0.7093750238418579,0.8722168207168579,0.8884766101837158,0.8597412109375,0.8835976123809814,0.8808211088180542,0.8251442313194275,0.8186274766921997,0.8431201577186584,0.8814635276794434,0.9196891784667969,0.9469522833824158,0.9688863754272461,0.9846898317337036,0.9957937002182007
002f3f6d,1,7,0.626171886920929,0.581494152545929,0.5674154162406921,0.5686279535293579,0.5747548937797546,0.6294615864753723,0.6995506882667542,0.7535424828529358,0.8165748119354248,0.8602298498153687,0.9006519317626953,0.9344335198402405,0.9624036550521851,0.9835153222084045,0.9952805042266846
002f3f6d,1,8,0.7430664300918579,0.698193371295929,0.7030599117279053,0.687744140625,0.6593520641326904,0.6286094784736633,0.6583244204521179,0.6984193325042725,0.7767456769943237,0.8411331176757812,0.8925209045410156,0.9316549301147461,0.961738109588623,0.982909619808197,0.9956102967262268
002f3f6d,1,9,0.2706054747104645,0.2901855409145355,0.3347981870174408,0.3788085877895355,0.42266008257865906,0.5474303364753723,0.6231681704521179,0.6789742708206177,0.7678548693656921,0.8374943137168884,0.8903789520263672,0.9310696125030518,0.9607601761817932,0.9813833236694336,0.9948956370353699
002f3f6d,1,10,0.3177734315395355,0.3331054747104645,0.36861979961395264,0.4046874940395355,0.43991270661354065,0.5690008401870728,0.6582350730895996,0.7216940522193909,0.8128275871276855,0.8736318945884705,0.9178924560546875,0.9489292502403259,0.9715432524681091,0.9869553446769714,0.9964161515235901
002f3f6d,1,11,0.3038085997104645,0.3512206971645355,0.39921876788139343,0.4317626953125,0.46373316645622253,0.5752336382865906,0.6624093651771545,0.7232450842857361,0.809554398059845,0.8677343130111694,0.9118080139160156,0.9432448148727417,0.9669727683067322,0.9842069149017334,0.9956092238426208
002f3f6d,1,12,0.5003906488418579,0.4229980409145355,0.4451497495174408,0.47868654131889343,0.5106464624404907,0.6156460642814636,0.686274528503418,0.7417758107185364,0.8223037719726562,0.8785719871520996,0.9184036254882812,0.9481419324874878,0.9701220989227295,0.9860443472862244,0.9960927367210388
002f3f6d,1,13,0.601855456829071,0.6983886957168579,0.6399414539337158,0.5875000357627869,0.5644148588180542,0.5894033312797546,0.6416653990745544,0.6911047101020813,0.7788674235343933,0.8449963927268982,0.8959884643554688,0.9348422288894653,0.9635807275772095,0.983772873878479,0.9957619309425354
002f3f6d,1,14,0.47021484375,0.46162110567092896,0.4832357168197632,0.5133301019668579,0.5415326356887817,0.654296875,0.7335197329521179,0.7922124266624451,0.8669965863227844,0.9089075326919556,0.936859130859375,0.9575338363647461,0.9742628931999207,0.9875193238258362,0.9963440299034119
002f3f6d,1,15,0.48798829317092896,0.45844727754592896,0.4718424677848816,0.4972167909145355,0.530886173248291,0.6480162739753723,0.7298305034637451,0.7910491824150085,0.866172730922699,0.9077876806259155,0.9362201690673828,0.9573540687561035,0.9736695885658264,0.9870149493217468,0.9962050914764404
002f3f6d,1,16,0.613085925579071,0.5172363519668579,0.5266602039337158,0.5391845703125,0.5577895641326904,0.6444451212882996,0.7145757079124451,0.7647824883460999,0.8315699696540833,0.878209114074707,0.9178371429443359,0.9479065537452698,0.9697756171226501,0.9857641458511353,0.9959887862205505
002f3f6d,1,17,0.19296875596046448,0.22954101860523224,0.27565106749534607,0.31206056475639343,0.3443436026573181,0.4562366008758545,0.5574129223823547,0.6406106352806091,0.7591294050216675,0.8324778079986572,0.8867835998535156,0.9291324019432068,0.960908830165863,0.9826281666755676,0.9953632354736328
002f3f6d,1,18,0.5010742545127869,0.4984374940395355,0.5103841423988342,0.5264648795127869,0.5450942516326904,0.614985466003418,0.6682432293891907,0.7135800123214722,0.7902171611785889,0.8510611057281494,0.8991489410400391,0.9358681440353394,0.9639121890068054,0.9837299585342407,0.9956579804420471
002f3f6d,1,19,0.48583984375,0.43730470538139343,0.4282877743244171,0.4390625059604645,0.45777803659439087,0.5463005900382996,0.6234362125396729,0.6858053803443909,0.783180832862854,0.8519493341445923,0.9027748107910156,0.9400145411491394,0.9665704369544983,0.984819769859314,0.9959464073181152
002f3f6d,1,20,0.52783203125,0.47871094942092896,0.48229169845581055,0.4975341856479645,0.5123889446258545,0.580930233001709,0.642935574054718,0.6962077021598816,0.7858846783638,0.8509823083877563,0.9002094268798828,0.937263011932373,0.964864194393158,0.9842784404754639,0.9958106875419617
002f3f6d,1,21,0.45722657442092896,0.5069824457168579,0.551464855670929,0.585644543170929,0.6135684847831726,0.6875861883163452,0.7169181704521179,0.7491909861564636,0.8065388202667236,0.8572762608528137,0.9025478363037109,0.9392192959785461,0.9652474522590637,0.9830002188682556,0.9949295520782471
002f3f6d,1,22,0.650097668170929,0.647998034954071,0.6342122554779053,0.613085925579071,0.6067708730697632,0.6151769757270813,0.6551840901374817,0.6960880160331726,0.7764784693717957,0.8414363861083984,0.8922367095947266,0.9320350289344788,0.96181720495224,0.9829942584037781,0.9956240653991699
002f3f6d,1,23,0.532031238079071,0.5701660513877869,0.6157552599906921,0.637939453125,0.6529756784439087,0.6749770641326904,0.6962890625,0.7197026610374451,0.7841446399688721,0.8439744710922241,0.8927288055419922,0.9315117597579956,0.9605664610862732,0.9819127917289734,0.995150089263916
03ef84dc,2,0,0.532519519329071,0.594531238079071,0.5915364623069763,0.5733642578125,0.5579427480697632,0.5765835642814636,0.6208767294883728,0.6729808449745178,0.7632360458374023,0.8341013789176941,0.89080810546875,0.9321941137313843,0.9622577428817749,0.9830216765403748,0.9952136874198914
03ef84dc,2,1,0.39042970538139343,0.4613281190395355,0.48789066076278687,0.49394533038139343,0.49584484100341797,0.5414081811904907,0.5986775159835815,0.6518028378486633,0.7455179691314697,0.8213464021682739,0.8806934356689453,0.9263522028923035,0.9591330289840698,0.9819103479385376,0.9952455163002014
